1	999,audio/bgm_stage03.mp3
1	998,STAGE 3
2000	997, 
500	1,0.2,-1
400	2,0.2,-1
400	3,0.2,-1
400	4,0.2,-1
400	5,0.2,-1
400	6,0.2,-1
400	1,0.2,-1
1000	1,0.7,-1
400	1,0.7,-1
400	2,0.7,-1
400	3,0.7,-1
400	4,0.7,-1
400	5,0.7,-1
400	6,0.7,-1
1000	2,-0.8,-1
400	2,-0.8,-1
400	3,-0.8,-1
400	3,-0.8,-1
400	4,-0.8,-1
400	5,-0.8,-1
400	6,-0.8,-1
1000	1,0.2,-1
400	1,0.2,-1
400	1,0.2,-1
400	2,0.2,-1
400	2,0.2,-1
400	2,0.2,-1
400	3,0.2,-1
1000	3,0.5,-1
400	3,0.5,-1
400	4,0.5,-1
400	5,0.5,-1
400	6,0.8,-1
400	5,0.2,-1
400	6,0.2,-1
1000	4,0.2,-1
400	3,0.4,-1
400	2,0.6,-1
400	3,0.8,-1
400	4,0.2,-1
400	5,0.8,-1
400	6,0.8,-1
1000	6,0.4,-1
400	6,0.7,-1
400	6,0.2,-1
400	6,0.3,-1
400	6,0.8,-1
400	6,-0.8,-1
400	6,0.2,-1
1000	4,0.0,-1
400	5,-0.4,-1
400	4,-0.6,-1
400	5,-0.4,-1
400	4,-0.6,-1
400	5,0.0,-1
400	4,0.2,-1
1000	5,-0.8,-1
400	5,-0.2,-1
400	5,-0.3,-1
400	5,-0.4,-1
400	5,-0.5,-1
400	6,-0.1,-1
400	6,-0.3,-1
1000	3,0.1,-1
400	3,-0.2,-1
400	4,0.6,-1
400	4,-0.1,-1
400	4,0.1,-1
400	5,-0.3,-1
400	5,0.8,-1
1000	5,0.0,-1
400	6,0.0,-1
400	6,0.3,-1
400	6,-0.3,-1
400	5,0.2,-1
400	5,0.0,-1
400	5,-0.9,-1
1000	4,-0.8,-1
400	4,-0.4,-1
400	4,0.8,-1
400	3,-0.2,-1
400	3,0.8,-1
400	3,0.1,-1
400	6,-0.3,-1
3000	999,audio/bgm_warning.mp3
1	998,WARNING!
500	997, 
500	998,WARNING!
500	997, 
500	998,WARNING!
500	997, 
500	998,WARNING!
500	997, 
1	999,audio/bgm_stage01_boss.mp3
1000	9,0,-1
